1_25051,5.5
1_27726,5.5
1_27729,5.5
1_300726,5.5
2_27724,5.5
2_27727,5.5
2_27729,5.5
2_300727,5.5
3_25051,5.5
3_300562,5.5
3_300563,5.5
3_300723,5.5
4_25131,5.5
4_27723,5.5
4_27726,5.5
4_301217,5.5
5_25164,5.5
5_27719,5.5
5_27728,5.5
5_300727,5.5
6_27714,5.5
6_27715,5.5
6_27716,5.5
6_300569,5.5
7_27722,5.5
7_27724,5.5
7_27725,5.5
7_300728,5.5
8_25131,5.5
8_300563,5.5
8_300564,5.5
8_300565,5.5
9_25302,5.5
9_27723,5.5
9_28388,5.5
9_301215,5.5
10_27732,5.5
10_300573,5.5
10_300741,5.5
10_300742,5.5
11_27721,5.5
11_27722,5.5
11_300729,5.5
11_301215,5.5
12_28437,5.5
12_300725,5.5
12_301213,5.5
12_301214,5.5
13_27713,5.5
13_28472,5.5
13_300730,5.5
13_300731,5.5
14_27712,5.5
14_27713,5.5
14_27737,5.5
14_28500,5.5
15_27711,5.5
15_27720,5.5
15_27721,5.5
15_300730,5.5
16_17255,5.5
16_17256,5.5
16_17257,5.5
16_17258,5.5
17_28526,5.5
17_300738,5.5
17_300739,5.5
17_300740,5.5
18_17257,5.5
18_27712,5.5
18_28588,5.5
18_300572,5.5
19_27737,5.5
20_27706,5.5
20_28591,5.5
20_300737,5.5
20_300738,5.5
21_300618,3.2
21_300623,3.2
22_24351,3.2
22_25304,3.2
22_25305,3.2
23_24386,3.2
24_24553,3.2
25_24758,3.2
25_27678,3.2
26_16371,3.2
26_16376,3.2
26_300175,3.2
27_24718,3.2
27_27687,3.2
28_27681,3.2
29_24561,3.2
29_24645,3.2
29_24702,3.2
30_24605,3.2
31_24746,3.2
32_18693,3.2
32_300211,3.2
32_300593,3.2
33_24848,3.2
33_24855,3.2
33_24971,3.2
34_25300,3.2
34_27683,3.2
35_300605,3.2
35_300751,3.2
36_17574,3.2
37_25243,3.2
38_25018,3.2
38_27695,3.2
39_28718,3.2
39_300603,3.2
40_25018,3.2
40_25032,3.2
40_27727,3.2
41_27699,3.2
41_27700,3.2
42_25068,3.2
42_25100,3.2
42_25114,3.2
43_25096,3.2
43_28369,3.2
43_28393,3.2
43_28489,3.2
44_27702,5.5
44_300606,5.5
45_300199,3.2
45_300599,3.2
46_17010,5.5
46_27705,5.5
47_27704,5.5
48_28694,3.2
49_28492,3.2
49_28554,3.2
49_301210,3.2
50_28603,5.5
51_28828,3.2
51_28996,3.2
52_13993,3.2
52_28844,3.2
52_300510,3.2
53_28699,3.2
54_28545,5.5
54_28559,5.5
54_28627,5.5
54_39538,5.5
55_300549,5.5
55_300550,5.5
56_28852,5.5
57_27710,5.5
58_28700,5.5
59_28871,5.5
60_28923,5.5
61_28996,5.5
62_29282,3.2
63_25264,3.2
63_27662,3.2
63_29242,3.2
64_27651,3.2
65_13942,2
66_10695,2
66_29630,2
66_29703,2
67_10960,2
68_10959,2
68_10975,2
68_25275,2
69_10958,2
69_29819,2
69_29879,2
70_10961,2
70_10965,2
70_29765,2
70_29783,2
71_9737,2
72_27644,2
72_29875,2
73_10956,2
