15175_24701,2.77
24699_15174,2.77
9767_9768,0.41
9769_9770,0.41
9773_29228,0.41
29232_9774,0.41
9918_29436,0.41
29450_9917,0.41
9920_9942,0.41
9943_10049,0.41
11540_30074,0.61
30073_11678,0.61
7161_30242,0.61
30243_7154,0.61
12038_12039,0.61
12041_12042,0.61
7574_13207,0.61
13208_7572,0.61
13215_13216,0.61
13217_13214,0.61
12050_12051,0.61
12053_12052,0.61
7989_7981,1.41
8253_8252,1.41
8250_13231,1.41
13232_8248,1.41
19633_13925,2.3
19649_13926,2.3
24660_19740,2.3
19720_24649,2.3
15150_15152,2.89
15151_15149,2.89
29137_29138,2.3
28824_29126,3.75
28723_28715,5.19
28723_29008,5.19
29022_29043,2.3
29061_29027,2.3
29089_29079,2.3
26754_26755,1.45
28051_28050,1.45
29203_29199,1.45
29127_28834,5.19
